point,epsilon 0.3 sq,epsilon 0.05 sq,epsilon 0.3 quad,epsilon 0.05 quad
-1.68,0.111592,0.0193116,0.00459129,2.13025e-05
-1.67,0.113001,0.0195662,0.00472087,2.19054e-05
-1.66,0.114438,0.0198261,0.00485518,2.25303e-05
-1.65,0.115903,0.0200913,0.00499442,2.31783e-05
-1.64,0.117397,0.0203621,0.00513883,2.38505e-05
-1.63,0.11892,0.0206386,0.00528863,2.45479e-05
-1.62,0.120474,0.0209209,0.00544409,2.52718e-05
-1.61,0.122058,0.0212093,0.00560546,2.60234e-05
-1.6,0.123674,0.0215039,0.00577302,2.6804e-05
-1.59,0.125323,0.0218049,0.00594707,2.76149e-05
-1.58,0.127006,0.0221126,0.00612792,2.84578e-05
-1.57,0.128723,0.022427,0.00631589,2.93341e-05
-1.56,0.130476,0.0227484,0.00651133,3.02455e-05
-1.55,0.132265,0.023077,0.00671461,3.11937e-05
-1.54,0.134092,0.0234131,0.00692612,3.21805e-05
-1.53,0.135957,0.0237569,0.00714628,3.32081e-05
-1.52,0.137862,0.0241085,0.00737552,3.42783e-05
-1.51,0.139808,0.0244684,0.0076143,3.53935e-05
-1.5,0.141796,0.0248368,0.00786311,3.65559e-05
-1.49,0.143828,0.0252138,0.00812249,3.77682e-05
-1.48,0.145903,0.0255999,0.00839298,3.90329e-05
-1.47,0.148025,0.0259952,0.00867518,4.03528e-05
-1.46,0.150194,0.0264003,0.0089697,4.17311e-05
-1.45,0.152411,0.0268152,0.00927724,4.31709e-05
-1.44,0.154679,0.0272405,0.00959848,4.46756e-05
-1.43,0.156998,0.0276764,0.00993419,4.62489e-05
-1.42,0.159371,0.0281233,0.0102852,4.78946e-05
-1.41,0.161798,0.0285817,0.0106523,4.96171e-05
-1.4,0.164282,0.0290519,0.0110365,5.14207e-05
-1.39,0.166824,0.0295343,0.0114388,5.33103e-05
-1.38,0.169427,0.0300295,0.0118601,5.52908e-05
-1.37,0.172092,0.0305378,0.0123017,5.7368e-05
-1.36,0.17482,0.0310598,0.0127646,5.95476e-05
-1.35,0.177615,0.031596,0.0132503,6.18359e-05
-1.34,0.180479,0.0321469,0.0137601,6.42399e-05
-1.33,0.183412,0.0327131,0.0142955,6.67668e-05
-1.32,0.186419,0.0332952,0.014858,6.94245e-05
-1.31,0.189501,0.0338939,0.0154494,7.22215e-05
-1.3,0.192661,0.0345097,0.0160715,7.51669e-05
-1.29,0.195902,0.0351434,0.0167263,7.82708e-05
-1.28,0.199226,0.0357957,0.0174159,8.15438e-05
-1.27,0.202636,0.0364675,0.0181426,8.49975e-05
-1.26,0.206135,0.0371594,0.0189089,8.86444e-05
-1.25,0.209726,0.0378724,0.0197174,9.24982e-05
-1.24,0.213413,0.0386074,0.0205709,9.65737e-05
-1.23,0.217198,0.0393653,0.0214727,0.000100887
-1.22,0.221086,0.0401472,0.0224261,0.000105455
-1.21,0.22508,0.0409542,0.0234346,0.000110298
-1.2,0.229184,0.0417873,0.0245023,0.000115436
-1.19,0.233401,0.0426479,0.0256333,0.000120892
-1.18,0.237737,0.0435371,0.0268324,0.00012669
-1.17,0.242195,0.0444563,0.0281045,0.000132858
-1.16,0.246781,0.0454071,0.029455,0.000139427
-1.15,0.251497,0.0463909,0.03089,0.000146427
-1.14,0.256351,0.0474094,0.0324158,0.000153897
-1.13,0.261347,0.0484643,0.0340395,0.000161874
-1.12,0.26649,0.0495575,0.0357686,0.000170405
-1.11,0.271786,0.0506911,0.0376114,0.000179536
-1.1,0.277241,0.0518671,0.0395771,0.000189322
-1.09,0.282861,0.0530879,0.0416755,0.000199822
-1.08,0.288653,0.0543558,0.0439172,0.000211103
-1.07,0.294623,0.0556736,0.0463142,0.000223238
-1.06,0.300779,0.0570441,0.0488791,0.000236311
-1.05,0.307127,0.0584703,0.0516259,0.000250413
-1.04,0.313676,0.0599555,0.0545698,0.000265647
-1.03,0.320434,0.0615033,0.0577273,0.00028213
-1.02,0.327409,0.0631174,0.0611167,0.000299993
-1.01,0.33461,0.0648021,0.0647574,0.000319382
-1,0.342045,0.0665618,0.0686709,0.000340465
-0.99,0.349726,0.0684014,0.0728803,0.000363431
-0.98,0.357661,0.0703262,0.0774109,0.000388495
-0.97,0.365861,0.072342,0.0822896,0.000415904
-0.96,0.374336,0.0744551,0.0875459,0.000445938
-0.95,0.383099,0.0766724,0.0932112,0.000478921
-0.94,0.39216,0.0790014,0.0993192,0.000515224
-0.93,0.401532,0.0814506,0.105906,0.000555277
-0.92,0.411228,0.0840289,0.113009,0.000599579
-0.91,0.42126,0.0867466,0.120668,0.00064871
-0.9,0.431641,0.0896147,0.128925,0.000703349
-0.89,0.442387,0.0926456,0.137823,0.000764293
-0.88,0.45351,0.0958531,0.147405,0.000832482
-0.87,0.465026,0.0992525,0.157715,0.00090903
